Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,SW Billings,SW Billings7,AU Rashid,AU Rashid8,DJ Willey,DJ Willey9,MA Wood,MA Wood10,ST Finn,ST Finn11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,SW Billings,SW Billings7,AU Rashid,AU Rashid8,DJ Willey,DJ Willey9,MA Wood,MA Wood10,ST Finn,ST Finn11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JM Bairstow,JM Bairstow6,SW Billings,SW Billings7,DJ Willey,DJ Willey8,AU Rashid,AU Rashid9,MA Wood,MA Wood10,ST Finn,ST Finn11
lost,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JWA Taylor,JWA Taylor3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,MA Wood,MA Wood10,ST Finn,ST Finn11
lost,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JWA Taylor,JWA Taylor3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,ST Finn,ST Finn11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JWA Taylor,JWA Taylor3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JM Bairstow,JM Bairstow6,MM Ali,MM Ali7,LE Plunkett,LE Plunkett8,CR Woakes,CR Woakes9,AU Rashid,AU Rashid10,ST Finn,ST Finn11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JWA Taylor,JWA Taylor3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JM Bairstow,JM Bairstow6,MM Ali,MM Ali7,LE Plunkett,LE Plunkett8,DJ Willey,DJ Willey9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
lost,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JWA Taylor,JWA Taylor3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JM Bairstow,JM Bairstow6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,AU Rashid,AU Rashid9,MA Wood,MA Wood10,RJW Topley,RJW Topley11
lost,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JWA Taylor,JWA Taylor5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,DJ Willey,DJ Willey10,RJW Topley,RJW Topley11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,JWA Taylor,JWA Taylor6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,DJ Willey,DJ Willey10,RJW Topley,RJW Topley11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JWA Taylor,JWA Taylor5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,DJ Willey,DJ Willey10,RJW Topley,RJW Topley11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,JC Buttler,JC Buttler4,EJG Morgan,EJG Morgan5,JWA Taylor,JWA Taylor6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,DJ Willey,DJ Willey10,RJW Topley,RJW Topley11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,JC Buttler,JC Buttler4,EJG Morgan,EJG Morgan5,BA Stokes,BA Stokes6,MM Ali,MM Ali7,CJ Jordan,CJ Jordan8,AU Rashid,AU Rashid9,DJ Willey,DJ Willey10,RJW Topley,RJW Topley11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CJ Jordan,CJ Jordan8,AU Rashid,AU Rashid9,DJ Willey,DJ Willey10,RJW Topley,RJW Topley11
lost,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,JC Buttler,JC Buttler4,EJG Morgan,EJG Morgan5,BA Stokes,BA Stokes6,MM Ali,MM Ali7,CJ Jordan,CJ Jordan8,DJ Willey,DJ Willey9,AU Rashid,AU Rashid10,RJW Topley,RJW Topley11
lost,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,SCJ Broad,SCJ Broad10,RJW Topley,RJW Topley11
lost,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,SCJ Broad,SCJ Broad10,RJW Topley,RJW Topley11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JM Bairstow,JM Bairstow5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,DJ Willey,DJ Willey9,LE Plunkett,LE Plunkett10,AU Rashid,AU Rashid11
